COLON;2;PEÑAROL;1
CARACAS;0;PARANAENSE;0
OLIMPIA;0;CERRO;0
ALWAYS READY;2;CORINTHIANS;0
DEP CALI;2;BOCA;0
SPORTING CRISTAL;0;FLAMENGO;2
TALLERES;1;U CATOLICA;0
AMERICA-MG;0;IDEPTE DEL VALLE;2
BRAGANTINO;2;NACIONAL;0
TOLIMA;0;ATL MINEIRO;2
DEP TACHIRA;0;PALMEIRAS;4
ALIANZA LIMA;0;RIVER;1
IDEPTE PETROLERO;1;EMELEC;1
FORTALEZA;1;COLO COLO;2
ESTUDIANTES;4;VELEZ;1
THE STRONGEST;1;LIBERTAD;1
